"SAMPLE.ID","LAB.ID.x","METHOD","CAS.NUMBER","ANALYTE","RESULT","UNITS","DILUTION","RESULT.REPORTED.TO","MDL","RL","REPORT.BASIS","PERCENT.MOISTURE","PERCENT.SOLID","non.detect","duplicate","location.name","treatment.name","method.name","event.type","LAB.ID.y","MATRIX","COLLECTED","RECEIVED","HOLD","flag"
"KB-07-IN2-1","HS22090451-01","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",7.81,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"Kerbel",NA,NA,"Inflow","-01","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-1","HS22090451-01","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",7.77,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"Kerbel",NA,NA,"Inflow","-01","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-1","HS22090451-01","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"Kerbel",NA,NA,"Inflow","-01","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-1","HS22090451-01","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"Kerbel",NA,NA,"Inflow","-01","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-2","HS22090451-02","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,TRUE,FALSE,"Kerbel",NA,NA,"Inflow","-02","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-3","HS22090451-03","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,TRUE,FALSE,"Kerbel",NA,NA,"Inflow","-03","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-5","HS22090451-04","E200.8 - 200.8","7782-49-2","Selenium",6.44,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"Kerbel",NA,NA,"Inflow","-04","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-1","HS22090451-05","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",8.02,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-05","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-1","HS22090451-05","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.02,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-05","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-1","HS22090451-05","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-05","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-1","HS22090451-05","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.09,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-05","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-2","HS22090451-06","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.71,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-06","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-3","HS22090451-07","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,TRUE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-07","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-5","HS22090451-08","E200.8 - 200.8","7782-49-2","Selenium",6.69,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-08","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"MT2-FF-07-GB-1","HS22090451-09","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",8.26,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"Kerbel","MT","Grab Sample","Point Sample","-09","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"MT2-FF-07-GB-1","HS22090451-09","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.26,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"Kerbel","MT","Grab Sample","Point Sample","-09","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"MT2-FF-07-GB-1","HS22090451-09","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"Kerbel","MT","Grab Sample","Point Sample","-09","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"MT2-FF-07-GB-1","HS22090451-09","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.091,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,FALSE,FALSE,"Kerbel","MT","Grab Sample","Point Sample","-09","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"MT2-FF-07-GB-2","HS22090451-10","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.63,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"Kerbel","MT","Grab Sample","Point Sample","-10","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"MT2-FF-07-GB-3","HS22090451-11","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.138,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,FALSE,"Kerbel","MT","Grab Sample","Point Sample","-11","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"MT2-FF-07-GB-5","HS22090451-12","E200.8 - 200.8","7782-49-2","Selenium",6.6,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"Kerbel","MT","Grab Sample","Point Sample","-12","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"ST2-FF-07-GB-1","HS22090451-13","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",8.49,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"Kerbel","ST2","Grab Sample","Point Sample","-13","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"ST2-FF-07-GB-1","HS22090451-13","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.49,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"Kerbel","ST2","Grab Sample","Point Sample","-13","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"ST2-FF-07-GB-1","HS22090451-13","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"Kerbel","ST2","Grab Sample","Point Sample","-13","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"ST2-FF-07-GB-1","HS22090451-13","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.17,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,FALSE,FALSE,"Kerbel","ST2","Grab Sample","Point Sample","-13","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"ST2-FF-07-GB-2","HS22090451-14","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.97,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"Kerbel","ST2","Grab Sample","Point Sample","-14","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"ST2-FF-07-GB-3","HS22090451-15","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.134,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,FALSE,"Kerbel","ST2","Grab Sample","Point Sample","-15","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"ST2-FF-07-GB-5","HS22090451-16","E200.8 - 200.8","7782-49-2","Selenium",5.89,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"Kerbel","ST2","Grab Sample","Point Sample","-16","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"AVST1-07-OTLC-1","HS22090500-01","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.24,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-01","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-1","HS22090500-01","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.21,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-01","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-1","HS22090500-01","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-01","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-1","HS22090500-01","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-01","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-2","HS22090500-02","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",2.2,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-02","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-3","HS22090500-03","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.117,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-03","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-5","HS22090500-04","E200.8 - 200.8","7782-49-2","Selenium",9.24,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-04","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-1-D","HS22090500-05","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.21,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-05","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-1-D","HS22090500-05","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.17,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-05","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-1-D","HS22090500-05","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-05","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-1-D","HS22090500-05","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-05","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-2-D","HS22090500-06","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.97,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-06","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-3-D","HS22090500-07","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.428,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-07","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST1-07-OTLC-5-D","HS22090500-08","E200.8 - 200.8","7782-49-2","Selenium",9.26,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow","-08","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-1","HS22090500-09","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",0.904,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","-09","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-1","HS22090500-09","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.904,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","-09","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-1","HS22090500-09","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","-09","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-1","HS22090500-09","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","-09","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-2","HS22090500-10","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.88,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","-10","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-3","HS22090500-11","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.273,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","-11","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-5","HS22090500-12","E200.8 - 200.8","7782-49-2","Selenium",10.7,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","-12","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-1-D","HS22090500-13","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.24,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","-13","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-1-D","HS22090500-13","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.2,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","-13","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-1-D","HS22090500-13","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","-13","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-1-D","HS22090500-13","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","-13","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-2-D","HS22090500-14","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.79,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","-14","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-3-D","HS22090500-15","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.323,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","-15","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVST2-07-OT-5-D","HS22090500-16","E200.8 - 200.8","7782-49-2","Selenium",9.66,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","-16","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-1","HS22090500-17","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",0,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-17","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-1","HS22090500-17","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.154,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-17","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-1","HS22090500-17","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-17","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-1","HS22090500-17","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-17","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-2","HS22090500-18","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",2.4,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-18","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-3","HS22090500-19","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",3.91,"mg/L",5,"RL",0.1,0.25,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-19","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-5","HS22090500-20","E200.8 - 200.8","7782-49-2","Selenium",11.3,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-20","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-1-D","HS22090500-21","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",0.281,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-21","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
"AVCT2-07-OTLC-1-D","HS22090500-21","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.244,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,TRUE,"AVRC STAR","CT2","Low-Cost Sampler","Outflow","-21","Water","09 Sep 2022 12:00","10 Sep 2022 08:50","No",NA
